CustomerID,Gender,Type
544,F,GEM
1498,F,REGULAR
2141,F,REGULAR
10532,F,GEM
34657,M,GEM
40070,M,GEM
69618,M,GEM
89725,M,GEM
125177,M,REGULAR
156163,NA,GEM
204442,NA,GEM
216991,M,GEM
244903,M,GEM
257417,M,REGULAR
263659,M,REGULAR
294811,M,REGULAR
316941,F,REGULAR
332633,F,REGULAR
349725,F,REGULAR
354493,F,REGULAR
358551,F,REGULAR
358975,F,REGULAR
360120,F,REGULAR
374718,F,REGULAR
426969,M,REGULAR
434558,M,REGULAR
435615,M,REGULAR
456198,F,REGULAR
504918,F,REGULAR
517438,F,REGULAR
522332,F,REGULAR
555723,F,REGULAR
558868,F,REGULAR
564866,F,REGULAR
568331,F,REGULAR
570950,F,REGULAR
578308,F,REGULAR
580226,F,REGULAR
593880,F,REGULAR
613971,F,REGULAR
657366,F,REGULAR
671010,F,REGULAR
672204,F,REGULAR
674428,F,REGULAR
674850,F,REGULAR
675436,F,REGULAR
677511,F,REGULAR
684671,F,REGULAR
685265,F,REGULAR
688523,F,REGULAR
689768,F,REGULAR
690035,F,GEM
690629,F,GEM
697513,F,GEM
708899,F,GEM
724535,F,GEM
725405,F,GEM
726026,F,GEM
727633,F,GEM
729699,F,GEM
730279,F,GEM
743550,F,GEM
753045,F,GEM
753743,F,GEM
757988,F,GEM
761304,F,GEM
768969,F,GEM
769660,F,GEM
771999,F,GEM
779783,F,GEM
789584,F,REGULAR
789730,F,GEM
791258,F,REGULAR
792526,F,GEM
806651,F,REGULAR
818076,F,REGULAR
824100,F,GEM
829587,F,REGULAR
899931,F,REGULAR
921260,F,REGULAR
924074,F,REGULAR
930194,F,REGULAR
933269,F,REGULAR
935280,F,REGULAR
946910,F,REGULAR
953738,F,REGULAR
957962,F,REGULAR
959332,F,REGULAR
976504,F,REGULAR
982861,F,REGULAR
1002028,F,REGULAR
1006643,F,GEM
1007408,F,GEM
1023569,F,GEM
1041451,F,GEM
1046719,F,GEM
1050684,F,GEM
1052019,F,GEM
1052192,F,GEM
1054974,F,REGULAR
1057172,F,REGULAR
1058258,F,GEM
1097266,F,GEM
1100795,F,GEM
1107009,F,GEM
1115181,F,GEM
1115690,F,REGULAR
1121508,F,GEM
1121959,F,GEM
1123000,F,GEM
1127728,F,GEM
1129365,F,REGULAR
1130333,F,REGULAR
1130720,F,REGULAR
1131691,F,REGULAR
1131704,F,REGULAR
1133161,F,REGULAR
1133750,F,REGULAR
1135028,F,REGULAR
1135305,F,REGULAR
1136642,F,REGULAR
1139887,F,REGULAR
1145700,F,REGULAR
1151832,F,REGULAR
1155290,F,REGULAR
1156493,F,REGULAR
1160593,F,REGULAR
1163160,F,REGULAR
1167335,F,REGULAR
1168128,F,REGULAR
1168445,F,REGULAR
1168689,F,REGULAR
1189951,F,REGULAR
1190228,F,REGULAR
1192883,F,REGULAR
1193154,F,REGULAR
1193219,F,REGULAR
1193345,F,REGULAR
1193352,F,REGULAR
1193355,F,REGULAR
1193363,F,REGULAR
1193703,NA,REGULAR
1193713,M,REGULAR
1193742,NA,REGULAR
1203566,NA,REGULAR
1203611,NA,REGULAR
1203632,NA,REGULAR
1203649,NA,REGULAR
1203656,NA,REGULAR
1203659,NA,GEM
1203665,NA,GEM
1203741,NA,GEM
1203822,M,GEM
1203940,M,GEM
1206936,M,GEM
1206947,M,GEM
1206961,F,GEM
1206965,F,GEM
1206969,F,GEM
1206973,NA,GEM
1206974,NA,GEM
1206985,M,GEM
1206987,M,GEM
1207007,M,GEM
1207015,M,GEM
1207021,F,GEM
1207042,F,GEM
1207044,F,GEM
1207047,F,REGULAR
2433,M,GEM
26863,M,REGULAR
32335,M,GEM
47121,M,REGULAR
47459,F,REGULAR
83921,F,GEM
85569,F,REGULAR
87127,M,REGULAR
90801,M,REGULAR
93937,M,REGULAR
115883,M,REGULAR
128182,F,REGULAR
138677,F,REGULAR
140792,F,REGULAR
143065,M,REGULAR
147812,M,REGULAR
195863,M,REGULAR
210185,M,REGULAR
218091,F,REGULAR
225944,F,REGULAR
253395,F,GEM
274429,M,GEM
278691,M,GEM
310399,M,GEM
347865,M,GEM
348896,F,GEM
393521,F,GEM
403790,F,GEM
405946,M,REGULAR
417877,M,REGULAR
437921,M,GEM
457543,M,GEM
470413,F,GEM
473300,F,GEM
483255,F,GEM
525321,F,REGULAR
538615,F,GEM
542751,F,GEM
548966,F,GEM
552968,F,GEM
566456,F,REGULAR
574132,F,REGULAR
595227,F,REGULAR
598199,F,REGULAR
610407,F,REGULAR
619888,F,REGULAR
638534,M,REGULAR
643160,M,REGULAR
649160,M,REGULAR
659383,M,REGULAR
661813,M,REGULAR
662602,M,REGULAR
672702,M,REGULAR
675219,M,REGULAR
675360,M,REGULAR
687815,M,REGULAR
696310,M,REGULAR
702440,M,REGULAR
719628,M,REGULAR
724975,NA,REGULAR
734365,NA,REGULAR
739843,NA,REGULAR
739911,F,REGULAR
741835,M,REGULAR
743360,F,REGULAR
743445,M,REGULAR
748016,F,REGULAR
